name,location,category,tags
일선사(서울),종로구,1.0,#관광지#도심속#불교#불교문화#사찰여행#역사#자연환경#전통사찰
서소문역사공원,중구,1.0,#관광지
강남,강남구,1.0,#가족과함께#강남#강남관광정보센터#강남구#강남맛집#강남스타일
아차산봉수대터,중랑구,1.0,#관광지#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속
국립서울현충원,동작구,1.0,#가족여행#관광지#교과서속여행#국립서울현충원#근대문화유산#당일치기여행
보신각 터,종로구,1.0,#가족여행#관광지#교과서속여행#당일치기여행#보신각터#서울근교여행
북촌 8경,종로구,1.0,#감성사진#경치좋은곳#관광지#근대한옥#데이트장소추천#북촌8경#사진찍기좋은곳
상허이태준가옥(수연산방),성북구,1.0,#관광지#문화재#상허이태준가옥#수도권#수연산방#역사#역사공부
서울 정동교회,중구,1.0,#관광지#교과서속여행#나홀로여행#도심여행#서울정동교회#역사#역사공부
보성사터,종로구,1.0,#관광지#교과서속여행#근린공원#보성사터#산책하기좋은곳#수도권
광장시장 한복문화 체험관,종로구,1.0,#관광지
150년 수령 느티나무,양천구,1.0,#관광지
독립관,서대문구,1.0,#관광지#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속
스파 도향,강남구,1.0,#가족과함께#건강한힐링여행#관광지#남녀노소#데이트하기좋은곳#부모님과함께
북촌한옥마을,종로구,1.0,#가족여행#관광지#나홀로여행#당일치기여행#데이트코스#도심여행
성락원(서울),성북구,1.0,#가족과함께#관광지#아이와함께#역사#역사공부#역사를품은곳#역사문화재
창덕궁과 후원 [유네스코 세계문화유산],종로구,1.0,#19_20한국관광100선#관광지#데이트코스#수도권#역사#역사공부
올리바인 스파,종로구,1.0,#건강여행#관광지#부모님과함께#뷰티&스파온천&스파#연인과함께#올리바인스파
남산 케이블카,중구,1.0,#경치좋은곳#관광지#남산서울타워#남산케이블카#데이트코스#등산
동대문디자인플라자(DDP),중구,1.0,#19_20한국관광100선#DDP#관광지#동대문디자인플라자#복합문화공간
서울 동대문 닭한마리 골목,종로구,1.0,#관광지#동대문닭한마리골목#동대문닭한마리골목#수도권#숨은맛집
절두산 순교성지,마포구,1.0,#관광지#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속
63스퀘어,영등포구,1.0,#63스퀘어#가족과함께#관광지#데이트코스#복합문화공간#서울가볼만한곳
명동관광정보센터,중구,1.0,#관광정보#관광지#관광코스정보#교통정보#국내여행정보#맛집정보
관음사(서울),관악구,1.0,#관광지#불교문화#사찰여행#역사#역사속으로#역사이야기#자연좋은곳
양천향교,강서구,1.0,#관광지#역사#역사공부#역사관광#역사관광지#역사를품은곳#역사문화
창의문(자하문),종로구,1.0,#가족여행#관광지#문화재#서울여행#역사#역사공부#역사관광지#역사를품은곳
망원정지,마포구,1.0,#관광지#기념물#망원정지#문화재#수도권#역사#역사공부#역사관광지
옥천암(서울),서대문구,1.0,#관광지#대한불교조계종#불교#사찰#사찰여행#역사#자연속으로#자연좋은곳
명성황후 조난지,종로구,1.0,#경복궁#관광지#명성황후#역사#역사공부#역사관광지#역사를품은곳
황학정,종로구,1.0,#관광지#궁술#서울여행#역사#역사공부#역사관광지#역사관광지#역사를품은곳
세검정 터 (구 세검정),종로구,1.0,#관광지#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속
서울 우정총국,종로구,1.0,#관광지#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속
낙선재,종로구,1.0,#가족여행#고궁#관광지#교과서속여행#낙선재#사계절#수도권#아이와함께
대원군별장,종로구,1.0,#관광지#대원군별장#석파정#수도권#역사#역사공부#역사관광지#역사를품은곳
탑골공원 팔각정,종로구,1.0,#관광지#서울특별시유형문화재#수도권#역사#역사공부#역사관광지
해풍부원군윤택영댁재실,중구,1.0,#관광지#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속
극락사(서울),중랑구,1.0,#관광지#불교#불교문화#불교문화#서울사찰#역사#역사속으로#역사이야기
소림사(서울),종로구,1.0,#관광지#불교#불교문화#사찰#사찰여행#역사#역사속으로#역사이야기
순명비유강원석물,광진구,1.0,#관광지#역사#역사공부#역사관광지#역사를품은곳#역사문화#역사문화재
승동교회,종로구,1.0,#3.1운동#관광지#교회#국내건축물#기독교#승동교회#역사#역사공부
인왕사(서울),종로구,1.0,#관광지#불교#불교문화#사찰여행#서울사찰#수도권#역사#인왕사
서울광장,중구,1.0,#관광지#도심여행#복합문화공간#산책하기#산책하기좋은곳#서울광장
길상사(서울),성북구,1.0,#관광지#길상사(서울)#불교#불교문화#사찰#사찰여행#산사#수도권
관악산 생태공원,관악구,1.0,#관광지#관악산생태공원#데이트코스#도심여행#아이와함께#연인과함께
쌈지길,종로구,1.0,#관광지#남녀노소#데이트장소추천#복합문화공간#쇼핑#쇼핑거리#수도권
조계사(서울),종로구,1.0,#관광지#나홀로여행#불교#불교문화#사찰#산사#역사#역사유적지
와룡공원,종로구,1.0,#가족들과 함께#관광지#나들이코스#도시자연공원#와룡공원#종로구
보라매공원,동작구,1.0,#걷기길#관광지#보라매공원#산책길#산책하기#산책하기좋은곳#수도권
사직공원(서울),종로구,1.0,#관광지#교과서속여행#사직공원(서울)#산책길#산책하기#산책하기좋은곳
여의도공원,영등포구,1.0,#관광지#꽃여행#데이트코스#복합문화공간#봄나들이#산책길#산책하기
한강시민공원 난지지구(난지한강공원),마포구,1.0,#관광지#나들이#난지한강공원#데이트코스#복합문화공간#연인과함께
서울 효창공원,용산구,1.0,#관광지#서울효창공원#수도권#역사공부#역사를품은곳#역사속#역사속으로
서울 석촌동 고분군,송파구,1.0,#걷기길#관광지#교과서속여행#서울석촌동고분군#수도권#역사#역사공부
서울 정릉(신덕왕후) [유네스코 세계문화유산],성북구,1.0,#관광지#서울정릉#수도권#아이와함께#역사#역사공부#역사를품은곳
불암산,노원구,1.0,#가족여행#관광지#당일치기여행#등산#등산로#불암산#사계절#서울근교여행
용마산,중랑구,1.0,#관광지#나홀로여행#등산#용마산#자연#자연&숲#친구와함께#트레킹
수락산,노원구,1.0,#가족여행#관광지#당일치기여행#등산#등산로#사계절#서울근교여행
강변스파랜드,광진구,1.0,#강변스파랜드#관광지#불한증막#사우나#수도권#연인과함께#연중무휴
묘각사(서울),종로구,1.0,#관광지#불교#불교문화#사찰#사찰여행#역사#자연속으로#자연좋은곳
창덕궁 향나무,종로구,1.0,#관광지#수도권#자연#창덕궁#창덕궁향나무#천연기념물
창덕궁 다래나무,종로구,1.0,#관광지#수도권#자연#창덕궁#창덕궁다래나무#천연기념물
서울 신림동 굴참나무,관악구,1.0,#관광지#서울신림동굴참나무#수도권#자연#천연기념물
망우산(서울),중랑구,1.0,#관광지#등산#망우산#산책로#수도권#자연#트레킹
백련사(서울),서대문구,1.0,#관광지#불교#불교문화#불교사찰#사찰#사찰여행#역사#자연속으로
서울 신림동 민속순대타운,관악구,1.0,#골목식당#관광지#남녀노소#맛집#맛집골목#먹자골목#서울맛집#수도권
진관사(서울),은평구,1.0,#관광지#불교#불교문화#불교사찰#사찰#사찰여행#역사#자연속으로
삼천사(서울),은평구,1.0,#관광지#도심여행#불교#불교문화#불교사찰#사찰#사찰여행#서울삼천사
광희문,중구,1.0,#관광지#역사#역사공부#역사관광#역사관광지#역사문화#역사문화재
인왕산,종로구,1.0,#관광지#등산#수도권#인왕산#자연#트레킹
응봉산(서울),성동구,1.0,#관광지#자연
삼각산,강북구,1.0,#관광지#자연
초안산,노원구,1.0,#관광지#자연
구룡산(서울),서초구,1.0,#관광지#구룡산#산#수도권#자연#트레킹
봉화산(서울),중랑구,1.0,#관광지#자연
청계산,서초구,1.0,#관광지#자연
노들섬,용산구,1.0,#관광지
산마루놀이터,종로구,1.0,#관광지
부암동,종로구,1.0,#걷기여행#관광지#데이트코스#도심여행#부암동#브런치카페#사계절
동대문역사문화공원,중구,1.0,#가족여행#걷기좋은길#관광지#데이트코스#동대문역사문화공원#사계절
존비코올터장군상,광진구,1.0,#관광지#사계절#수도권#아이와함께#역사공부#역사관광지#역사를품은곳
이봉창의사동상,용산구,1.0,#관광지#사계절#수도권#아이와함께#역사공부#역사관광지#역사를품은곳
반공순국용사 위령탑,영등포구,1.0,#관광지#반공순국용사위령탑#사계절#수도권#아이와함께#애국정신
남강이승훈선생동상,광진구,1.0,#관광지#아이와함께#역사공부#역사관광#역사관광지#역사를품은곳
유관순동상,중구,1.0,#관광지#사계절#수도권#아이와함께#역사공부#역사를품은곳#역사속
순국선열추념탑,서대문구,1.0,#관광지#사계절#수도권#순국선열추념탑#아이와함께#역사공부#역사관광지
고하송진우선생동상,광진구,1.0,#관광지#독립운동#아이와함께#역사공부#역사관광지#역사를품은곳
유관순열사상,광진구,1.0,#관광지#사계절#수도권#아이와함께#역사공부#역사관광지#역사를품은곳
3.1독립선언기념탑,서대문구,1.0,#3.1독립선언기념탑#관광지#사계절#수도권#아이와함께#역사공부#역사관광지
